layer,unit,description,similarity,sim correlation
encoder.layers.encoder_layer_10,285,furnished,0.39971924,0.12527118623256683
encoder.layers.encoder_layer_10,286,mounted,0.12310791,-0.011176357977092266
encoder.layers.encoder_layer_10,287,logo,0.2763977,0.040680285543203354
encoder.layers.encoder_layer_10,288,fruit,0.26489258,0.051705967634916306
encoder.layers.encoder_layer_10,289,clouds,0.14678955,0.13514845073223114
encoder.layers.encoder_layer_10,290,crossword,0.3661499,0.07186833769083023
encoder.layers.encoder_layer_10,291,snowmobile,0.12609863,0.08130988478660583
encoder.layers.encoder_layer_10,292,maize,0.1253357,0.07351218163967133
encoder.layers.encoder_layer_10,293,textile,0.15670776,0.07650825381278992
encoder.layers.encoder_layer_10,294,bookshop,0.2644043,0.0584300197660923
encoder.layers.encoder_layer_10,295,female,0.17321777,0.006356727331876755
encoder.layers.encoder_layer_10,296,paperbacks,0.26498413,0.08259724080562592
encoder.layers.encoder_layer_10,297,yellowstone,0.2579956,0.07377491891384125
encoder.layers.encoder_layer_10,298,mating,0.18215942,0.2175840586423874
encoder.layers.encoder_layer_10,299,broccoli,0.28518677,0.12056943774223328
encoder.layers.encoder_layer_10,300,leopard,0.3088379,0.13912010192871094
encoder.layers.encoder_layer_10,301,webs,0.18673706,0.05304843559861183
encoder.layers.encoder_layer_10,302,puzzle,0.16748047,0.06444956362247467
encoder.layers.encoder_layer_10,303,railways,0.25933838,0.11308588087558746
encoder.layers.encoder_layer_10,304,specimen,0.2677307,0.0731399804353714
encoder.layers.encoder_layer_10,305,dungeon,0.22616577,0.012247172184288502
encoder.layers.encoder_layer_10,306,ibis,0.12918091,0.05668140947818756
encoder.layers.encoder_layer_10,307,yellowstone,0.26651,0.10999669134616852
encoder.layers.encoder_layer_10,308,bees,0.2866211,0.05541708320379257
encoder.layers.encoder_layer_10,309,plaque,0.22994995,0.09784239530563354
encoder.layers.encoder_layer_10,310,ascii,0.13330078,0.0884694829583168
encoder.layers.encoder_layer_10,311,plaque,0.23529053,0.07894482463598251
encoder.layers.encoder_layer_10,312,ascii,0.19714355,-0.01988757587969303
encoder.layers.encoder_layer_10,313,jeans,0.15719604,0.07928400486707687
encoder.layers.encoder_layer_10,314,daisy,0.17111206,0.08966995775699615
encoder.layers.encoder_layer_10,315,habitat,0.08395386,0.1234314814209938
encoder.layers.encoder_layer_10,316,snowmobile,0.243927,0.07783259451389313
encoder.layers.encoder_layer_10,317,fungi,0.32373047,0.20566843450069427
encoder.layers.encoder_layer_10,318,zebra,0.28637695,0.1223803386092186
encoder.layers.encoder_layer_10,319,fields,0.2296753,0.09110837429761887
encoder.layers.encoder_layer_10,320,webs,0.37527466,0.025028537958860397
encoder.layers.encoder_layer_10,321,webs,0.13922119,0.0216156467795372
encoder.layers.encoder_layer_10,322,ball,0.20645142,0.034908171743154526
encoder.layers.encoder_layer_10,323,defend,0.11227417,-0.04949040338397026
