layer,unit,description,similarity,sim correlation
encoder.layers.encoder_layer_22,163,squash,0.28536987,0.08283812552690506
encoder.layers.encoder_layer_22,164,temporal,0.076812744,-0.024677330628037453
encoder.layers.encoder_layer_22,165,juvenile,0.28286743,0.09250803291797638
encoder.layers.encoder_layer_22,166,pineapple,0.1267395,0.06363046914339066
encoder.layers.encoder_layer_22,167,swan,0.31192017,0.12841317057609558
encoder.layers.encoder_layer_22,168,mating,0.34173584,0.041589219123125076
encoder.layers.encoder_layer_22,169,slug,0.15133667,0.0787583589553833
encoder.layers.encoder_layer_22,170,monkey,0.13269043,0.03236514329910278
encoder.layers.encoder_layer_22,171,cabinets,0.25195312,0.16235095262527466
encoder.layers.encoder_layer_22,172,fungi,0.17556763,0.13021977245807648
encoder.layers.encoder_layer_22,173,bees,0.3433838,0.10435730218887329
encoder.layers.encoder_layer_22,174,baseball,0.2632141,0.11333947628736496
encoder.layers.encoder_layer_22,175,puppy,0.1354065,0.20976510643959045
encoder.layers.encoder_layer_22,176,eagle,0.20236206,0.11073438078165054
encoder.layers.encoder_layer_22,177,dog,0.14663696,0.28690603375434875
encoder.layers.encoder_layer_22,178,shark,0.1560669,0.08295585215091705
encoder.layers.encoder_layer_22,179,observatory,0.3430786,0.11861126869916916
encoder.layers.encoder_layer_22,180,badger,0.23712158,0.04818080738186836
encoder.layers.encoder_layer_22,181,fungi,0.48138428,0.1481107920408249
encoder.layers.encoder_layer_22,182,juvenile,0.20443726,0.12843424081802368
encoder.layers.encoder_layer_22,183,overlay,0.1479187,0.06874316930770874
encoder.layers.encoder_layer_22,184,juvenile,0.276062,0.09883546829223633
encoder.layers.encoder_layer_22,185,specimens,0.14935303,0.09932425618171692
encoder.layers.encoder_layer_22,186,utensils,0.23876953,0.15525870025157928
encoder.layers.encoder_layer_22,187,bedrooms,0.12930298,0.08131614327430725
encoder.layers.encoder_layer_22,188,nursery,0.44491577,0.11054889857769012
encoder.layers.encoder_layer_22,189,hdd,0.19647217,0.0826750323176384
encoder.layers.encoder_layer_22,190,radiator,0.36547852,0.12162326276302338
encoder.layers.encoder_layer_22,191,carriers,0.12054443,0.03211510553956032
encoder.layers.encoder_layer_22,192,airfares,0.19052124,0.08412161469459534
encoder.layers.encoder_layer_22,193,wrench,0.10571289,0.057015981525182724
encoder.layers.encoder_layer_22,194,bees,0.20758057,0.07007445394992828
encoder.layers.encoder_layer_22,195,pike,0.2781067,0.08491113036870956
encoder.layers.encoder_layer_22,196,trees,0.169281,0.0807228535413742
encoder.layers.encoder_layer_22,197,terrier,0.25164795,0.18324162065982819
encoder.layers.encoder_layer_22,198,foam,0.10903931,0.07672907412052155
encoder.layers.encoder_layer_22,199,fungi,0.41082764,0.18307633697986603
encoder.layers.encoder_layer_22,200,juvenile,0.18585205,0.05677110701799393
encoder.layers.encoder_layer_22,201,shell,0.19442749,0.07987185567617416
encoder.layers.encoder_layer_22,202,hummer,0.40957642,0.02465219795703888
encoder.layers.encoder_layer_22,203,dogs,0.14996338,0.24598266184329987
encoder.layers.encoder_layer_22,204,snake,0.27764893,0.07052241265773773
encoder.layers.encoder_layer_22,205,slug,0.27435303,0.11258480697870255
encoder.layers.encoder_layer_22,206,guinea,0.24713135,0.1486494541168213
encoder.layers.encoder_layer_22,207,bloodhound,0.14898682,0.005348944570869207
