unit,description,sim correlation,sim ablation(norm),sim ablation(optim)
95,birding,0.3939338326454162,0.0717458128929138,0.06149601936340332
96,poured,0.2028090506792068,0.0429203510284423,0.033854007720947266
97,fasteners,0.1674846857786178,0.0145850181579589,0.012988507747650146
98,tees,0.181260198354721,0.0450637340545654,0.014100134372711182
99,squash,0.2120988219976425,0.0081562995910644,0.02179330587387085
100,food,0.3500912487506866,0.056445837020874,0.03962510824203491
101,gong,0.1552673429250717,-0.0005923509597778,0.013799667358398438
102,crossword,0.2184293717145919,0.0023585557937622,0.003141164779663086
103,wildlife,0.4254884719848633,0.0924546718597412,0.07691359519958496
104,bench,0.2666738331317901,0.0343052148818969,0.040424346923828125
105,terrier,0.1044664606451988,0.0034638047218322,0.015503466129302979
106,missiles,0.2258733808994293,0.0263428688049316,0.022427678108215332
107,blanca,0.1350657790899276,0.0071243643760681,0.014857709407806396
108,trains,0.2362122684717178,0.0052384138107299,0.021254420280456543
109,reptiles,0.1208612248301506,0.0176203250885009,0.034518301486968994
110,dispenser,0.1723321825265884,0.0167673230171203,0.012897253036499023
111,gnu,0.1792533099651336,0.0020489692687988,0.028413116931915283
112,flamingo,0.2069500982761383,0.0049347877502441,0.012839257717132568
113,branches,0.1564250439405441,0.0058545470237731,0.03337138891220093
114,dessert,0.189674362540245,0.0345399379730224,0.019931793212890625
115,pallet,0.1815527230501175,-0.0230219364166259,0.023327529430389404
116,sticks,0.1860531568527221,0.032501995563507,0.038680315017700195
117,shoes,0.3944746851921081,0.0622199773788452,0.05415654182434082
118,broccoli,0.2409446090459823,0.0179062485694885,0.032058000564575195
119,forests,0.2421579957008361,0.0351861119270324,0.059980571269989014
120,crossword,0.1810768693685531,0.0013297200202941,0.01168149709701538
121,benches,0.1997897028923034,0.0252162218093872,0.050247132778167725
122,feather,0.1733543276786804,0.0050550103187561,0.014720022678375244
123,hdd,0.1761887967586517,0.0070560574531555,0.016034841537475586
124,siding,0.1821745485067367,0.0178012251853942,0.006141364574432373
125,lifting,0.1740056723356247,0.0046232938766479,0.006176292896270752
126,altar,0.1067888289690017,-0.003219723701477,0.013445138931274414
127,utensils,0.1413844674825668,0.0144009590148925,0.034696102142333984
128,laserjet,0.1981106102466583,0.0004246234893798,0.019017577171325684
129,swimwear,0.3225196599960327,0.0430442690849304,0.028563737869262695
130,bees,0.1204605847597122,-0.0007213354110717,0.016119003295898438
131,greenhouse,0.1071928441524505,0.0119389295578002,0.012409865856170654
132,dragonfly,0.2587092816829681,0.0046936273574829,0.008099615573883057
133,bookstore,0.1517624408006668,0.0131875276565551,0.010750174522399902
134,utensils,0.1236618012189865,0.0069009661674499,0.018210172653198242
135,canoeing,0.2449555546045303,0.0228791832923889,0.03127336502075195
136,skiing,0.3773976862430572,0.0553342103958129,0.05327343940734863
137,pharmacist,0.2437997311353683,0.0251462459564209,0.017716526985168457
138,pillar,0.1710318624973297,0.0046267509460449,0.02550530433654785
