unit,description,sim correlation
98,chequered,-0.09907404333353043
99,blue color,0.009355333633720875
100,wheel,0.09316713362932205
101,chequered,0.03880101814866066
102,honeycombed,0.07135707139968872
103,chequered,-0.017599068582057953
104,red color,-0.005166854243725538
105,tree,0.09605187922716141
106,zigzagged,-0.003769507398828864
107,body,-0.08774825930595398
108,banded,-0.07245876640081406
109,orange color,0.1221194937825203
110,orange color,0.03297994285821915
111,wheel,0.03875705972313881
112,painting,-0.02070336788892746
113,black color,-0.030621057376265526
114,ceramic,0.012777226977050304
115,lined,0.09503921121358871
116,chequered,0.026627246290445328
117,meshed,-0.013212781399488449
118,eye,-0.06978362798690796
119,perforated,0.031148411333560944
120,windowpane,-0.0379696786403656
121,grid,0.15556743741035461
122,black color,0.052444569766521454
123,studded,0.02597360871732235
124,wheel,0.030930813401937485
125,yellow color,0.020036226138472557
126,woven,-0.01540975458920002
127,black color,0.07734156399965286
128,eye,0.027376040816307068
129,lined,0.10347649455070496
130,tree,0.07357984781265259
131,"polka, dotted",0.03576525300741196
132,chequered,0.01902403123676777
133,hair,0.04011349752545357
134,lacelike,0.0623069703578949
135,sidewalk,0.05863984674215317
136,zigzagged,-0.018759293481707573
137,perforated,0.10303808748722076
138,mountain,0.09935390204191208
139,perforated,-0.07530801743268967
140,studded,0.002921134000644088
141,carpet,-0.018817681819200516
142,wheel,0.06031669303774834
143,lacelike,0.03155834600329399
144,paisley,0.029438940808176994
145,blue color,0.042034465819597244
146,zigzagged,0.03180311992764473
147,chequered,0.02097650244832039
148,flecked,0.15414702892303467
149,striped,-0.04156592860817909
150,perforated,0.011783177964389324
151,smeared,-0.010946315713226795
152,roof,0.004788618069142103
153,lacelike,0.12609709799289703
154,red color,0.03930290788412094
155,meshed,0.004763929173350334
156,red color,0.2106240689754486
157,person,0.017919154837727547
158,arm,0.07841625809669495
159,road,-0.0033690189011394978
160,waffled,-0.005780374631285667
161,brown color,0.08654367178678513
162,perforated,-0.02865331619977951
163,banded,-0.07049780339002609
164,perforated,-0.038042351603507996
165,woven,-0.02729322947561741
166,striped,0.014734179712831974
167,painting,-0.018245380371809006
168,dotted,0.012677845545113087
169,chequered,0.1480400711297989
170,plant,0.18238651752471924
171,striped,0.004307161550968885
172,grid,0.11646003276109695
173,perforated,-0.05139053240418434
174,grid,0.18034939467906952
175,dotted,-0.010006238706409931
176,studded,-0.000697274983394891
177,coach,0.04895028844475746
178,arm,0.07283804565668106
179,ceiling,0.025945395231246948
180,sky,0.11602069437503815
181,waffled,0.012751994654536247
182,grid,0.043052371591329575
183,grid,0.03200661763548851
184,ear,0.09171389788389206
185,hand,-0.06196196749806404
186,food,0.1788172572851181
187,zigzagged,-0.006256077438592911
188,"forest, broadleaf",0.05025864019989967
189,banded,0.0918903574347496
190,arm,-0.0007988212164491415
191,studded,0.023330995813012123
192,person,0.03774717077612877
193,wheel,-0.014749933034181595
194,orange color,-0.025685535743832588
195,eye,-0.06614673137664795
