unit,description,sim correlation,sim ablation(norm),sim ablation(optim)
70,spiralled,0.0825058221817016,0.0051662325859069,0.015532851219177246
71,body,-0.0143936779350042,-4.4465065002441406e-05,-0.0029135942459106445
72,coach,0.0229506567120552,-0.0007288455963134,0.002767801284790039
73,bubbly,0.1705963611602783,-0.0020017623901367,0.015565335750579834
74,corridor,0.0900042653083801,0.0065901279449462,0.0076122283935546875
75,horse,0.0300397984683513,-0.0001816749572753,0.023698508739471436
76,cobwebbed,0.3187374770641327,0.0392274856567382,0.03442341089248657
77,chair,0.0371508374810218,0.001338243484497,0.010123670101165771
78,laundromat,0.0357466489076614,-0.0006923675537109,0.009912431240081787
79,waffled,0.2114807516336441,0.0123369097709655,0.015123724937438965
80,wood,-0.0051742326468229,-0.0020931959152221,-0.0026363134384155273
81,"control tower, outdoor",0.0356876105070114,0.0002097487449645,0.00866854190826416
82,water,0.1991049498319625,0.035328209400177,0.037760913372039795
83,cow,0.0859975069761276,0.0012383460998535,0.015300452709197998
84,table,0.1720467209815979,0.0118302702903747,0.008607625961303711
85,headboard,0.2091748714447021,0.0025179386138916,0.00952458381652832
86,sea,0.341115802526474,0.0619080662727355,0.0500260591506958
87,mountain snowy,0.2189030945301056,0.0199718475341796,0.04094362258911133
88,building,0.3389012515544891,0.0642844438552856,0.04406648874282837
89,corridor,0.0143352830782532,6.985664367675781e-05,0.015132367610931396
90,bus,0.0987991988658905,0.0022396445274353,0.00405275821685791
91,sheep,0.1480330973863601,0.0089249610900878,0.023713767528533936
92,drawer,0.0866597443819046,0.0094507932662963,0.015396296977996826
93,sheep,0.0584598965942859,-0.0004323720932006,0.009059131145477295
94,person,0.0847157314419746,0.0098034143447875,0.013283252716064453
95,shoe shop,0.0585680641233921,-0.0023099184036254,0.02973306179046631
96,body,-0.0055004651658236,0.0003300309181213,0.002107977867126465
97,"mosque, outdoor",0.1346544772386551,0.0074691772460937,0.015414774417877197
98,torso,0.0375790297985076,0.0026497840881347,0.004318356513977051
99,cow,0.0964530408382415,0.0062628388404846,0.021074533462524414
100,toilet,0.1332147419452667,0.0096992850303649,0.013352453708648682
101,cat,0.0786562412977218,0.0080187320709228,0.018706321716308594
102,carpet,0.1182526051998138,0.0110931396484375,0.009029924869537354
103,savanna,0.2768301367759704,0.0426554083824157,0.0354694128036499
104,chair,0.2337529361248016,0.0417255759239196,0.02261441946029663
105,bus,0.1772864162921905,0.0083518624305725,0.019863367080688477
106,airplane,0.0911395624279975,0.005854308605194,0.005088090896606445
107,sheep,0.0630112439393997,-0.0043983459472656,0.009783625602722168
108,train,0.2332042157649994,0.0030258893966674,0.021020114421844482
109,horse,0.07736586779356,0.0020209550857543,0.01747608184814453
110,desk,0.0931270718574523,0.0053597092628479,0.007679462432861328
111,airplane,0.1225528120994567,0.0100273489952087,0.03461813926696777
112,wheel,0.096703439950943,0.0063061714172363,0.016038477420806885
113,car,0.0245028212666511,0.0006568431854248,0.030898094177246094
114,ceramic,0.0566156581044197,0.0023027062416076,0.0039231181144714355
115,stratified,0.0293116699904203,0.0005051493644714,0.0011439323425292969
116,dog,0.0655527859926223,0.001612901687622,0.008986175060272217
117,shoe shop,0.2248212099075317,-0.0057616233825683,0.021838903427124023
118,dog,0.1597077399492263,0.0253393650054931,0.04456794261932373
119,tree,0.1908885389566421,0.0279124975204467,0.05649220943450928
120,chequered,0.0017849211581051,-0.0009316205978393,0.008870542049407959
121,chair,0.2226801216602325,0.0134686231613159,0.04313182830810547
122,veined,0.188108429312706,0.0126716494560241,0.019478261470794678
123,spiralled,0.0708512663841247,0.0009617805480957,0.008608639240264893
124,house,0.2008470594882965,0.0354694128036499,0.020478904247283936
125,airplane,0.0440706200897693,0.0027008056640625,0.006312966346740723
126,food,0.1320034265518188,0.0079948306083679,0.01298457384109497
127,closet,0.0909458324313163,0.0058642029762268,0.024266064167022705
128,torso,-0.0392989516258239,0.0012041926383972,0.010816812515258789
129,arm,0.1170080974698066,0.0109299421310424,0.02177053689956665
130,honeycombed,0.088274635374546,0.0142439603805542,0.01653951406478882
131,bus,0.1261724531650543,0.0041040778160095,0.004466116428375244
132,supermarket,0.1062924563884735,0.0172559022903442,0.013200104236602783
133,"casino, indoor",0.1353811770677566,0.0013391375541687,0.001418471336364746
134,bed,0.0153817469254136,-0.000140905380249,0.006389617919921875
135,water,0.2490902096033096,0.0575662851333618,0.04192054271697998
136,mountain snowy,0.2359786331653595,0.0295828580856323,0.02670919895172119
137,person,0.0396076925098896,0.0010847449302673,0.013056933879852295
138,cemetery,0.0640053153038024,0.0043333768844604,0.019139766693115234
139,hut,0.1541351228952407,0.0096684098243713,0.013563573360443115
140,bird,0.4265075325965881,0.0648242235183715,0.06744968891143799
141,food,0.0198847968131303,-0.0006923675537109,0.00769805908203125
142,pool table,0.0605743937194347,0.0011935234069824,0.0023587942123413086
143,bus,0.0784959569573402,0.0006983876228332,-0.00020706653594970703
144,dog,0.1914143413305282,0.0255752801895141,0.031239867210388184
145,track,0.0482274927198886,-0.0010437965393066,-0.0012693405151367188
146,shoe shop,0.1872944682836532,0.0060451626777648,0.006934523582458496
147,chequered,0.0726009756326675,0.0021177530288696,0.0017845630645751953
148,cat,0.0950598493218422,0.0093780755996704,0.00784456729888916
149,bubbly,0.0568558536469936,0.0021165013313293,0.019825994968414307
150,highway,0.1391198337078094,0.0093722939491271,0.003594815731048584
151,crystalline,0.1332022845745086,0.0070576071739196,0.03925371170043945
152,pool table,0.0416823774576187,-0.0005145072937011,0.014663636684417725
153,airplane,0.1262887120246887,0.003605842590332,0.004836320877075195
154,knitted,0.2545908689498901,0.0893921256065368,0.04859286546707153
155,office,0.2057554423809051,0.0238077044486999,0.010872900485992432
156,dog,0.2361741513013839,0.0298348069190979,0.04905807971954346
