layer,unit,val correlation,weight0,concept0,weight1,concept1,weight2,concept2,weight3,concept3,weight4,concept4,weight5,concept5,weight6,concept6,weight7,concept7,weight8,concept8,weight9,concept9,bias,sim correlation,sim ablation(optim),sim ablation(norm)
layer4,51,0.199961301,0.69777966,baby bed,0.50463307,lizard,0.31748748,monkey,0.07762463,animal,0,0,0,0,0,0,0,0,0,0,0,0,0.427967161,0.205452323,0.035738289,0.008830726
layer4,52,0.454431035,3.0945408,espresso machine,1.0142875,primate,0.27397382,mammal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.397453517,0.479882419,0.077186584,0.064053357
layer4,53,0.33684816,2.3081768,rotary dial telephone,1.5976759,Lhasa Apso,1.483145,measuring instrument,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.487603873,0.279937178,0.03383106,0.025133908
layer4,54,0.342689404,2.2497468,pool table,1.804219,acorn,1.4176195,Old English Sheepdog,0.88145286,ball,0.23857602,dog,0,0,0,0,0,0,0,0,0,0,0.468126178,0.264615029,0.038864553,0.009902239
layer4,55,0.31340984,1.6771021,baby bib,1.4436762,guillotine,0.4153383,bird,0.10748105,artifact,0,0,0,0,0,0,0,0,0,0,0,0,0.336599916,0.269345403,0.021864057,0.009105206
layer4,56,0.387009264,2.2599,arabian camel,1.995252,earth star fungus,1.5755193,lemur,1.4163617,koala,0.50014484,substance,0,0,0,0,0,0,0,0,0,0,0.344720989,0.321713865,0.025284171,0.003290355
layer4,57,0.310672842,1.2685362,camera,1.2517138,harmonica,1.1110313,bowed stringed instrument,0.19950114,implement,0.11625964,artifact,0,0,0,0,0,0,0,0,0,0,0.341374934,0.225897178,0.031263292,0.025709689
layer4,58,0.505228367,2.0672128,baseball player,1.0201803,game equipment,0.6555759,dog,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.409294695,0.410837561,0.089044452,0.095830739
layer4,59,0.307151213,0.8676745,frog,0.7271279,bear,0.4212119,fish,0.4200578,musteline mammal,0.2603635,invertebrate,0.11728523,container,0,0,0,0,0,0,0,0,0.402958244,0.242037609,0.02420032,0.016647816
layer4,60,0.327859379,0.5656573,musical instrument,0.24756852,canine,0.15512025,covering,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.355144531,0.258732229,0.01972717,0.011377394
layer4,61,0.309129001,1.1028024,geyser,0.8979597,hippopotamus,0.8126524,sea lion,0.79205096,oven,0.41472366,utensil,0.30104655,reptile,0,0,0,0,0,0,0,0,0.393140733,0.246512905,0.022733212,0.020290792
layer4,62,0.361984236,2.1188886,lemur,1.1875175,beverage,0.36296314,mammal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.440936029,0.310902238,0.038861871,0.024331987
layer4,63,0.384194493,1.699967,espresso,0.58846384,retriever,0.33542457,dog,0.23735806,container,0,0,0,0,0,0,0,0,0,0,0,0,0.340163738,0.345955402,0.041423678,0.020745099
layer4,64,0.240924429,1.3102702,harp,0.8229716,butterfly,0.7240002,perfume,0.669687,mask,0,0,0,0,0,0,0,0,0,0,0,0,0.326616585,0.232881874,0.008200943,-0.001585364
layer4,65,0.56027164,3.0800722,prairie grouse,2.9194732,antelope,0.87729764,bird,0.6578114,animal,0,0,0,0,0,0,0,0,0,0,0,0,0.587421358,0.406747878,0.088455617,0.065951943
layer4,66,0.339760328,1.1329676,fungus,0.94841295,produce,0.94374555,place of business,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.513767183,0.335241556,0.037455857,0.043855131
layer4,67,0.360984907,2.510845,shoe store,1.956855,filing cabinet,1.7282652,library,1.046447,photocopier,0.7984384,shorebird,0,0,0,0,0,0,0,0,0,0,0.407754898,0.340272516,0.058008611,0.047897696
layer4,68,0.341294706,1.6629525,accordion,1.283312,camera,0.55964154,truck,0.4578458,home appliance,0.18745667,instrumentality,0,0,0,0,0,0,0,0,0,0,0.316790879,0.230307013,0.011729658,0.004734814
layer4,69,0.358868092,1.8763876,American lobster,1.7510635,common sorrel horse,1.0217487,bowed stringed instrument,0.8720039,volleyball,0.8399119,piggy bank,0.18897405,commodity,0,0,0,0,0,0,0,0,0.352947056,0.284163386,0.042027295,0.037756145
layer4,70,0.332303894,2.0807614,balloon,0.9621367,elephant,0.72278345,hound,0.5907372,even-toed ungulate,0.39683905,sporting dog,0,0,0,0,0,0,0,0,0,0,0.452459842,0.263069838,0.034659386,0.028335989
layer4,71,0.405600836,1.5324413,photocopier,1.4969504,menu,0.54711556,spaniel,0.50527173,toiletry,0.41015238,electronic equipment,0.39484704,primate,0.13373555,instrumentality,0,0,0,0,0,0,0.313811064,0.307949841,0.026318014,0.04111439
layer4,72,0.372358055,1.4806895,piano,1.0343592,oscine,0.19117314,artifact,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.337604672,0.181406885,0.014419019,0.010364592
