layer,unit,val correlation,weight0,concept0,weight1,concept1,weight2,concept2,weight3,concept3,bias,sim correlation
layer4,207,0.3537799911592543,3.1871994,pomegranate,2.3404279,comestible,2.2202363,horse chestnut seed,1.8070344,fruit,0.4443509578704834,0.3021658957004547
layer4,208,0.4601593801747472,2.9403844,sled dog,2.5602179,dingo,2.2224321,Basenji,2.1157808,Treeing Walker Coonhound,0.3857450485229492,0.44031795859336853
layer4,209,0.2890223667835008,2.7190752,bus,2.4022508,sombrero,2.2956126,Miniature Poodle,1.8471642,hut,0.4257141649723053,0.3141234517097473
layer4,210,0.3685863954776093,7.167027,jeweller,5.3862276,clasp,5.2148957,hackwork,1.8484577,bolo tie,0.4179287254810333,0.3466152250766754
layer4,211,0.2982911912603838,3.11531,park,2.381083,night,1.610819,carousel,1.2370968,harp,0.3495888710021972,0.2725178003311157
layer4,212,0.3242468515618003,3.4250693,livestock,2.7189953,dugong,2.4454336,bovid,2.15067,potter's wheel,0.4995207190513611,0.23981040716171265
layer4,213,0.3517945966036322,4.5859604,facsimile,3.3115783,public transport,2.9135628,crossword,2.2238789,snow,0.3722879290580749,0.32124626636505127
layer4,214,0.4169517052284476,3.3627293,Kuvasz,3.1969857,Sealyham Terrier,2.7504375,soup,2.6007857,praying mantis,0.414232850074768,0.43910884857177734
layer4,215,0.3755411861921095,2.8822517,snail,2.4881945,beetle,2.3825333,turtle,1.8703125,limpkin,0.4200440347194671,0.36296647787094116
layer4,216,0.3651157463674681,4.5884843,lotion,2.883163,Maltese,2.3499606,mosquito net,1.9976331,Soft-coated Wheaten Terrier,0.3577294051647186,0.3172033727169037
layer4,217,0.4273415892901345,1.2693337,coraciiform bird,0.8573627,ferret,0.6617726,canine,0.490593,new world monkey,0.2713746726512909,0.4070053994655609
layer4,218,0.3493733884089977,3.256411,tent,3.2131078,umbrella,1.8662274,pinwheel,1.7631147,soup,0.3692697286605835,0.28615209460258484
layer4,219,0.3811003628373367,3.1985612,feather,2.6206305,pineapple,2.4336274,Yorkshire Terrier,1.7471046,Affenpinscher,0.3447072505950928,0.41789111495018005
layer4,220,0.2367119245324371,2.0667193,shopfront,1.7952108,playroom,1.0565469,show,0.9020779,tradition,0.2607731521129608,0.27598342299461365
layer4,221,0.2875673498640458,3.5472865,armament,2.615935,stone wall,2.5475771,coffee maker,2.2168345,tile roof,0.4359780251979828,0.21477124094963074
