layer,unit,val correlation,weight0,concept0,weight1,concept1,weight2,concept2,weight3,concept3,weight4,concept4,bias,sim correlation
layer4,43,0.3336592288408451,2.6902714,megalith,2.5144696,artifact,2.0278776,thatched roof,0.85343343,old world monkey,0.7984034,primate,0.3212673664093017,0.3238455057144165
layer4,44,0.4059023954922666,4.709238,shoes,2.4103768,knee pad,2.26593,holster,1.6712241,armour,1.4944781,dung beetle,0.2950466573238373,0.5026205778121948
layer4,45,0.5168834858365915,4.2521853,couch,4.0895514,bed,3.6117675,sleeping,3.421041,bedclothes,2.896042,sleeping bag,0.4201362133026123,0.547588586807251
layer4,46,0.3155916757549676,2.5689728,broccoli,2.1236658,Miniature Poodle,1.6343778,Irish Water Spaniel,0.7757336,Standard Poodle,-0.12861596,poodle,0.4246747195720672,0.3553239405155182
layer4,47,0.32993329617928,3.9963377,closet,2.86445,light,2.4177454,parachute,1.840402,great white shark,1.3964636,flare,0.4900281727313995,0.3126208186149597
layer4,48,0.2859467939828152,4.1578074,haversack,2.6921344,rope,2.3669114,basket,2.2664697,split-rail fence,2.1015272,cabbage,0.4061991274356842,0.250379353761673
layer4,49,0.4319093580554415,8.14092,terminal,3.2171185,stereo,2.7455728,ape,2.6082752,Basset Hound,1.9839771,entertainment center,0.3855758607387543,0.4258333742618561
layer4,50,0.3877245352135123,2.1046822,chug,2.0897717,boa,1.7130604,husky,1.6495295,corgi,0.629442,pup,0.3580482304096222,0.37217044830322266
layer4,51,0.2421923515969415,2.0665152,handcart,2.0329516,chameleon,2.0203485,rocking chair,1.5881705,cradle,1.5048617,drum,0.422379583120346,0.2807825803756714
layer4,52,0.4204358527698154,3.725758,espresso machine,2.7146235,Japanese Chin,1.669489,primate,1.3322921,langur,0.33361804,lesser ape,0.4358491003513336,0.4791426956653595
layer4,53,0.3698436773428272,3.127133,timepiece,3.060737,dial,2.6111915,compass,2.4326673,Shih Tzu,2.328554,Pekingese,0.4342034161090851,0.42710113525390625
layer4,54,0.3556924417638609,4.341509,ping-pong ball,3.5315778,table tennis,2.5961065,Old English Sheepdog,2.1257093,toucan,2.037636,acorn,0.4569009840488434,0.29829829931259155
layer4,55,0.2833903302403833,4.6267886,baby bib,2.9601576,iron,1.7260711,body armor,1.7004291,guillotine,1.4719678,beak,0.3692211806774139,0.3154294490814209
layer4,56,0.4400825989627298,5.3512783,bun,3.485356,dromedary,3.2818396,dessert,1.9342653,earth star fungus,1.7727463,lemur,0.2964208424091339,0.39618781208992004
layer4,57,0.3177064653333499,2.8266382,Polaroid camera,2.0109196,gadget,1.854152,flute,1.7702829,opener,1.6728576,violin,0.3510623276233673,0.33002200722694397
layer4,58,0.5565621232001228,3.5544107,shepherd dog,3.3827019,sport,2.7219198,passing,2.263727,conformation,1.1377238,canine,0.363774687051773,0.5669006705284119
layer4,59,0.3318289014358674,3.2522764,cucumber,2.0049314,vibrissae,1.8234956,platypus,1.6792781,gong,1.5599794,crocodilian reptile,0.3694715797901153,0.31840044260025024
layer4,60,0.3799441664581193,2.0011575,Golden Retriever,1.7897869,husky,1.7296703,standing,1.6664996,accompanist,1.6475927,shepherd dog,0.3492299914360046,0.372048944234848
layer4,61,0.3681695497510769,4.060365,bedrock,2.9898162,hot spring,2.7945292,pastry,1.727462,cooking,1.5599463,potter's wheel,0.3463451266288757,0.3565114140510559
layer4,62,0.3903560333253423,4.4198422,lotion,3.4045544,lemur,3.3063796,koala,3.192577,Tibetan Mastiff,3.1562688,consomme,0.4563294649124145,0.4239957332611084
layer4,63,0.4455449210074321,4.2498775,coffee,2.9825704,motorcar,2.6231363,Labrador Retriever,1.5416152,hornbill,1.3542463,mutt,0.3298941552639007,0.4063812494277954
layer4,64,0.2250065660274683,1.807888,parking meter,1.782476,butterfly,1.7575477,cocktail shaker,1.39755,harp,1.2182951,frilled-necked lizard,0.3059923350811004,0.2932087779045105
layer4,65,0.5889156598731511,6.6611896,savanna,6.585574,lark,4.323975,wildlife,3.9878004,vibrissae,3.6398692,banded,0.5722283720970154,0.5643004775047302
layer4,66,0.4649594821299043,5.653004,comestible,3.8319697,collection,3.6759794,foodstuff,3.1668882,bookstore,2.1320693,pile,0.4353775382041931,0.47831428050994873
layer4,67,0.2785421273390608,2.3310843,apiary,2.325298,shoe shop,2.124342,shoe store,1.573111,Shih Tzu,1.5588015,hen of the woods mushroom,0.3944058120250702,0.2642199695110321
layer4,68,0.3857518795972171,4.411138,espresso machine,3.8066273,reflex camera,3.175599,truck,2.2005064,accordion,1.5287033,greyhound,0.3534270524978637,0.36516493558883667
layer4,69,0.2862719537521438,2.0485108,butternut squash,1.7917553,Vizsla,1.6417234,lobster,1.601551,cello,1.3520354,lifeboat,0.3434236943721771,0.30846738815307617
layer4,70,0.3807986317452718,2.5659869,Basset Hound,2.481275,gong,1.9513943,Beagle,1.8267186,bighorn sheep,0.94686574,mammal,0.4248908460140228,0.35468223690986633
layer4,71,0.3746583890628054,3.474379,medicine,3.2610822,terminal,2.6658516,lotion,1.9686552,photocopier,1.8162911,electronic device,0.3392253816127777,0.32313084602355957
layer4,72,0.3034135367915032,3.697014,upright piano,3.1813345,revolver,2.572078,chickadee,1.9948386,harmonica,1.8511003,typewriter,0.4110722541809082,0.2751426696777344
layer4,73,0.352241015478496,4.503763,lime,4.1937866,acid,2.5850666,bubble,1.8444371,tree frog,1.6358231,green mamba,0.4032584130764007,0.33723437786102295
layer4,74,0.3587734377909204,7.172816,entrance,2.932247,wolf,2.651368,meter,2.3998244,timepiece,2.129794,barometer,0.493449717760086,0.36079806089401245
layer4,75,0.2925554817240035,3.866871,roll,2.0060403,punching bag,1.6257439,dugong,0.9599425,squash,0.8875436,winter squash,0.2748659253120422,0.28150829672813416
layer4,76,0.5289754054477549,2.4976377,spider web,1.8281382,macrofauna,1.5130756,southern black widow,1.4602368,sea slug,1.034477,spider,0.3657505214214325,0.4848879873752594
layer4,77,0.4426581016717368,5.1871862,orchestra,4.5267467,show,4.110608,parade,3.745164,motorcar,2.7680347,tradition,0.4612630307674408,0.47391459345817566
layer4,78,0.3869370766014949,4.90467,dumbbell,3.6819026,wheel,2.6152484,fan,2.337769,spindle,2.1893091,gas mask or respirator,0.3471429944038391,0.3397854268550873
layer4,79,0.4127741336973828,6.348319,casserole,5.5863357,waffled,4.1313915,fiery,3.9493148,slice,2.664349,butternut squash,0.4065491855144501,0.4058087468147278
layer4,80,0.4377815025249835,2.263971,cup,2.2529528,gadget,1.435177,mitten,1.3544843,sock,1.0551063,plectrum,0.2393789142370224,0.3719029426574707
layer4,81,0.287833874699162,1.869393,Christmas stocking,1.6908998,standing,1.6047374,statue,1.5437759,sock,1.4782774,obelisk,0.3820150792598724,0.29923000931739807
layer4,82,0.5988371611131473,5.3449526,pond,5.2177052,paddle,4.5092735,river,4.3395085,aquatic bird,2.9001403,waterfowl,0.563012421131134,0.5845869779586792
layer4,83,0.2904924909933532,2.6123104,Basset Hound,1.7639184,bonnet,1.3995111,cauliflower,1.2788686,fowl,1.1862913,gyromitra,0.3681846857070923,0.3322623670101166
layer4,84,0.3515336839037691,4.7707496,pizza,4.6416807,iron,2.9808803,carbonara,2.8880186,hotdog,0.93186146,hot dog,0.4413773119449615,0.3194369375705719
layer4,85,0.4003121290735744,6.077968,housewife,3.2061021,bed,3.141389,home office,3.132117,furnishing,3.07615,childs room,0.5443572998046875,0.40214574337005615
layer4,86,0.5455303386710948,8.128635,sea,5.343532,swimming,4.219943,whale,4.0949674,Old English Sheepdog,1.8436385,aquatic mammal,0.452209860086441,0.5260279774665833
layer4,87,0.4805247271440697,4.920006,mountain,4.9116917,countryside,3.7285385,even-toed ungulate,2.0826075,bison,1.8442932,marmot,0.4094601571559906,0.4529566168785095
